ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
100000002015|2000-293-669|1006|450|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002015_1006|100||BY_IF
100000002016|2000-293-673|1006|451|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002016_1006|100||BY_IF
2000-285-610|2001-001-003|1006|424|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-610_1006|100||BY_IF
2000-285-610|2001-001-003|1020|425|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-610_1020|100||BY_IF
2000-285-678|2001-001-002|1006|420|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-678_1006|100||BY_IF
2000-285-678|2001-001-002|1020|421|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-678_1020|100||BY_IF
2000-293-669|2000-293-667|1020|422|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-669_1020|100||BY_IF
2000-293-669|2000-293-667|1006|423|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-669_1006|100||BY_IF
2000-293-673|2000-293-678|1020|418|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-673_1020|100||BY_IF
2000-293-673|2000-293-678|1006|419|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-673_1006|100||BY_IF
2001-001-003|2000-285-609|1006|432|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-003_1006|100||BY_IF
2001-001-003|2000-285-609|1020|433|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-003_1020|100||BY_IF
2001-001-002|2000-285-677|1006|428|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-002_1006|100||BY_IF
2001-001-002|2000-285-677|1020|429|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-002_1020|100||BY_IF
2000-293-667|100000002009|1006|430|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-667_1006|100||BY_IF
2000-293-667|100000002009|1020|431|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-667_1020|100||BY_IF
2000-293-678|100000002010|1020|426|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-678_1020|100||BY_IF
2000-293-678|100000002010|1006|427|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-678_1006|100||BY_IF
2000-285-609|823-1005-81|1003|436|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-609_1003|100||BY_IF
2000-285-609|823-1005-81|1006|437|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-609_1006|100||BY_IF
2000-285-677|823-3072-21|1006|434|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-677_1006|100||BY_IF
2000-285-677|823-3072-21|1003|435|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-285-677_1003|100||BY_IF
2001-000-001|2000-322-146|1004|458|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-000-001_1004|100||BY_IF
