ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-4_COMMON|3|01-01-1970|RES_LAVA BRIDGE-12_8PJ2CVA_F21|1.0||1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB2.0-1_COMMON|1|01-01-1970|RES_INTEL EMIB2.0-1_COMMON_F21|1.0|IF_PR_481_INTEL EMIB2.0-1|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB2.0-1_COMMON|2|01-01-1970|RES_CG-EMIB_F21|1.0|IF_PR_481_INTEL EMIB2.0-1|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB2.0-1_COMMON|3|01-01-1970|RES_LAVA BRIDGE-12_8PJ2CVA_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_COMMON|1|01-01-1970|RES_INTEL FOV-1_COMMON_F21|1.0|IF_PR_191_INTEL FOV-1|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-1|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_COMMON|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_IFS|1|01-01-1970|RES_INTEL FOV-1_IFS_F21|1.0|IF_PR_191_INTEL FOV-1|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_IFS|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-1|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_IFS|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_COMMON|1|01-01-1970|RES_INTEL FOV-2_COMMON_F21|1.0|IF_PR_191_INTEL FOV-2|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-2|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_COMMON|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_IFS|1|01-01-1970|RES_INTEL FOV-2_IFS_F21|1.0|IF_PR_191_INTEL FOV-2|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_IFS|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-2|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_IFS|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_COMMON|1|01-01-1970|RES_INTEL FOV-4_COMMON_F21|1.0|IF_PR_191_INTEL FOV-4|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-4|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_COMMON|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_IFS|1|01-01-1970|RES_INTEL FOV-4_IFS_F21|1.0|IF_PR_191_INTEL FOV-4|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_IFS|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-4|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_IFS|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_COMMON|1|01-01-1970|RES_INTEL FOV-5_COMMON_F21|1.0|IF_PR_191_INTEL FOV-5|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-5|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_COMMON|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_IFS|1|01-01-1970|RES_INTEL FOV-5_IFS_F21|1.0|IF_PR_191_INTEL FOV-5|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_IFS|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_191_INTEL FOV-5|1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_IFS|3|01-01-1970|RES_CAYMAN POINT-BASE_8FCMCVB_F21|1.0||1440|3|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-6_COMMON|1|01-01-1970|RES_INTEL FOV-6_COMMON_F21|1.0|IF_PR_191_INTEL FOV-6|1440|3|BY_IF
